id,original_language,title_lenguage,runtime,release_year,title_time,title,franquicia,revenue,title_pais,country_name,title_productoras,name_companies,revenue_productoras,title_director,release_date,budget,revenue_director,return,Nombre Director
862,en,Toy Story,81,1995,Toy Story,Toy Story,Toy Story Collection,373554033.0,Toy Story,United States of America,Toy Story,Pixar Animation Studios,373554033,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011,John Lasseter
8844,en,Jumanji,104,1995,Jumanji,Jumanji,Desconocida,262797249.0,Jumanji,United States of America,Jumanji,TriStar Pictures,262797249,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346,Joe Johnston
15602,en,Grumpier Old Men,101,1995,Grumpier Old Men,Grumpier Old Men,Grumpy Old Men Collection,0.0,Grumpier Old Men,United States of America,Grumpier Old Men,Teitler Film,0,Grumpier Old Men,1995-12-22,0.0,0.0,0.0,Howard Deutch
31357,en,Waiting to Exhale,127,1995,Waiting to Exhale,Waiting to Exhale,Desconocida,81452156.0,Waiting to Exhale,United States of America,Waiting to Exhale,Interscope Communications,81452156,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975,Forest Whitaker
11862,en,Father of the Bride Part II,106,1995,Father of the Bride Part II,Father of the Bride Part II,Father of the Bride Collection,76578911.0,Father of the Bride Part II,United States of America,Father of the Bride Part II,Warner Bros.,76578911,Father of the Bride Part II,1995-02-10,0.0,76578911.0,0.0,Charles Shyer
949,en,Heat,170,1995,Heat,Heat,Desconocida,187436818.0,Heat,United States of America,Heat,Lancaster Gate,187436818,Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667,Michael Mann
11860,en,Sabrina,127,1995,Sabrina,Sabrina,Desconocida,0.0,Sabrina,Germany,Sabrina,Twentieth Century Fox Film Corporation,0,Sabrina,1995-12-15,58000000.0,0.0,0.0,Sydney Pollack
11860,en,Sabrina,127,1995,Sabrina,Sabrina,Desconocida,0.0,Sabrina,United States of America,Sabrina,Twentieth Century Fox Film Corporation,0,Sabrina,1995-12-15,58000000.0,0.0,0.0,Sydney Pollack
45325,en,Tom and Huck,97,1995,Tom and Huck,Tom and Huck,Desconocida,0.0,Tom and Huck,United States of America,Tom and Huck,Sandollar Productions,0,Tom and Huck,1995-12-22,0.0,0.0,0.0,Peter Hewitt
9091,en,Sudden Death,106,1995,Sudden Death,Sudden Death,Desconocida,64350171.0,Sudden Death,United States of America,Sudden Death,Touchstone Pictures,64350171,Sudden Death,1995-12-22,35000000.0,64350171.0,1.8385763142857143,Peter Hyams
