id,title,country_name
862,Toy Story,United States of America
8844,Jumanji,United States of America
15602,Grumpier Old Men,United States of America
31357,Waiting to Exhale,United States of America
11862,Father of the Bride Part II,United States of America
949,Heat,United States of America
11860,Sabrina,Germany
11860,Sabrina,United States of America
45325,Tom and Huck,United States of America
9091,Sudden Death,United States of America
710,GoldenEye,United Kingdom
710,GoldenEye,United States of America
9087,The American President,United States of America
12110,Dracula: Dead and Loving It,France
12110,Dracula: Dead and Loving It,United States of America
21032,Balto,United States of America
10858,Nixon,United States of America
1408,Cutthroat Island,France
1408,Cutthroat Island,Germany
1408,Cutthroat Island,Italy
1408,Cutthroat Island,United States of America
524,Casino,France
524,Casino,United States of America
4584,Sense and Sensibility,United Kingdom
4584,Sense and Sensibility,United States of America
5,Four Rooms,United States of America
9273,Ace Ventura: When Nature Calls,United States of America
11517,Money Train,United States of America
8012,Get Shorty,United States of America
1710,Copycat,United States of America
9691,Assassins,France
9691,Assassins,United States of America
12665,Powder,United States of America
451,Leaving Las Vegas,United States of America
16420,Othello,Italy
9263,Now and Then,United States of America
17015,Persuasion,United Kingdom
17015,Persuasion,France
902,The City of Lost Children,France
902,The City of Lost Children,Germany
902,The City of Lost Children,Spain
37557,Shanghai Triad,China
37557,Shanghai Triad,France
9909,Dangerous Minds,United States of America
63,Twelve Monkeys,United States of America
78802,Wings of Courage,France
78802,Wings of Courage,United States of America
9598,Babe,Australia
9598,Babe,United States of America
47018,Carrington,France
47018,Carrington,United Kingdom
687,Dead Man Walking,United States of America
687,Dead Man Walking,United Kingdom
139405,Across the Sea of Time,United States of America
33689,It Takes Two,United States of America
9603,Clueless,United States of America
34615,"Cry, the Beloved Country",South Africa
31174,Richard III,United Kingdom
31174,Richard III,United States of America
11443,Dead Presidents,United States of America
35196,Restoration,United States of America
9312,Mortal Kombat,United States of America
577,To Die For,United States of America
11861,How To Make An American Quilt,United States of America
807,Se7en,United States of America
10530,Pocahontas,United States of America
8391,When Night Is Falling,Canada
629,The Usual Suspects,United States of America
117164,Guardian Angel,
11448,Mighty Aphrodite,United States of America
49133,Lamerica,Italy
49133,Lamerica,France
49133,Lamerica,Switzerland
26441,The Big Green,United States of America
97406,Georgia,France
97406,Georgia,United States of America
124057,Kids of the Round Table,
9089,Home for the Holidays,United States of America
11010,The Postman,Belgium
11010,The Postman,France
11010,The Postman,Italy
99040,The Confessional,Canada
11359,The Indian in the Cupboard,United States of America
17182,Eye for an Eye,United States of America
2054,Mr. Holland's Opus,United States of America
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,United States of America
19760,Two If by Sea,United States of America
9536,Bio-Dome,United States of America
11525,Lawnmower Man 2: Beyond Cyberspace,United States of America
40628,Two Bits,United States of America
4482,French Twist,France
10634,Friday,United States of America
755,From Dusk Till Dawn,United States of America
11859,Fair Game,United States of America
28387,Kicking and Screaming,United States of America
48750,Les Miserables,France
20927,Bed of Roses,United States of America
36929,Big Bully,United States of America
9102,Screamers,Canada
9102,Screamers,Japan
9102,Screamers,United States of America
124626,Nico Icon,Germany
124626,Nico Icon,United States of America
27526,The Crossing Guard,United States of America
9623,The Juror,United States of America
46785,The White Balloon,Iran
400,Things to Do in Denver When You're Dead,United States of America
880,Antonia's Line,Netherlands
880,Antonia's Line,United Kingdom
880,Antonia's Line,Belgium
146599,Once Upon a Time... When We Were Colored,United States of America
188588,Last Summer in the Hamptons,
8447,Angels and Insects,United Kingdom
8447,Angels and Insects,United States of America
10534,White Squall,United States of America
17414,Dunston Checks In,United States of America
13997,Black Sheep,United States of America
2086,Nick of Time,United States of America
61548,The Journey of August King,United States of America
9095,Mary Reilly,United States of America
12158,Vampire in Brooklyn,United States of America
9283,Beautiful Girls,United States of America
9208,Broken Arrow,United States of America
40154,A Midwinter's Tale,United Kingdom
406,La Haine,France
45549,Shopping,United Kingdom
63076,Heidi Fleiss: Hollywood Madam,United Kingdom
63076,Heidi Fleiss: Hollywood Madam,Canada
63076,Heidi Fleiss: Hollywood Madam,United States of America
63076,Heidi Fleiss: Hollywood Madam,Germany
11062,City Hall,United States of America
13685,Bottle Rocket,United States of America
47475,Mr. Wrong,United States of America
2045,Unforgettable,United States of America
9614,Happy Gilmore,United States of America
688,The Bridges of Madison County,United States of America
11907,Nobody Loves Me,Germany
10874,Muppet Treasure Island,United States of America
89333,Catwalk,
96357,Headless Body in Topless Bar,
197,Braveheart,United States of America
103,Taxi Driver,United States of America
33542,Rumble in the Bronx,Hong Kong
43566,Before and After,United States of America
71754,Margaret's Museum,Canada
71754,Margaret's Museum,United Kingdom
43612,Happiness Is in the Field,France
51352,Anne Frank Remembered,United Kingdom
51352,Anne Frank Remembered,United States of America
51352,Anne Frank Remembered,Netherlands
16934,The Young Poisoner's Handbook,Germany
16934,The Young Poisoner's Handbook,France
16934,The Young Poisoner's Handbook,United Kingdom
10324,If Lucy Fell,United States of America
78406,Steal Big Steal Little,United States of America
55731,Race the Sun,United States of America
32119,The Boys of St. Vincent,Canada
11066,Boomerang,United States of America
11104,Chungking Express,Hong Kong
37975,The Star Maker,Italy
2074,Flirting with Disaster,United States of America
27793,The Neverending Story III: Escape from Fantasia,Germany
27793,The Neverending Story III: Escape from Fantasia,United States of America
44284,The Silences of the Palace,Tunisia
44284,The Silences of the Palace,France
290157,Jupiter's Wife,
110972,Pie in the Sky,
32622,Angela,United States of America
73067,Frankie Starlight,United Kingdom
73067,Frankie Starlight,United States of America
73067,Frankie Starlight,France
73067,Frankie Starlight,Ireland
11863,Jade,United States of America
55475,Nueba Yol,Dominican Republic
124636,Sonic Outlaws,United States of America
9101,Down Periscope,United States of America
123360,From the Journals of Jean Seberg,United States of America
5757,Man of the Year,United States of America
39428,The Neon Bible,United Kingdom
124639,Target,
9302,Up Close & Personal,United States of America
11000,The Birdcage,United States of America
249882,Virgin Mary,Croatia
249882,Virgin Mary,Canada
249882,Virgin Mary,United States of America
16388,The Brothers McMullen,United States of America
9737,Bad Boys,United States of America
30765,The Amazing Panda Adventure,United States of America
10474,The Basketball Diaries,United States of America
22279,An Awfully Big Adventure,United Kingdom
30157,Amateur,France
30157,Amateur,United Kingdom
30157,Amateur,United States of America
568,Apollo 13,United States of America
11780,Rob Roy,United Kingdom
11780,Rob Roy,United States of America
34996,The Addiction,United States of America
414,Batman Forever,United Kingdom
414,Batman Forever,United States of America
649,Belle de Jour,France
649,Belle de Jour,Italy
1873,Beyond Rangoon,
5894,Blue in the Face,United States of America
1775,Canadian Bacon,Canada
1775,Canadian Bacon,United States of America
8839,Casper,United States of America
20649,Clockers,United States of America
10329,Congo,United States of America
8963,Crimson Tide,United States of America
26564,Crumb,United States of America
8068,Desperado,United States of America
8512,Devil in a Blue Dress,United States of America
1572,Die Hard: With a Vengeance,United States of America
13552,The Doom Generation,France
13552,The Doom Generation,United States of America
259209,Feast of July,
6520,First Knight,United States of America
9073,Free Willy 2 - The Adventure Home,France
9073,Free Willy 2 - The Adventure Home,United States of America
10428,Hackers,United States of America
17447,Jeffrey,United States of America
9886,Johnny Mnemonic,Canada
9886,Johnny Mnemonic,United States of America
9482,Judge Dredd,United States of America
19326,Jury Duty,United States of America
9344,Kids,United States of America
9071,Living in Oblivion,United States of America
8973,Lord of Illusions,United States of America
15730,Love & Human Remains,Canada
47608,Mad Love,United States of America
2293,Mallrats,United States of America
9070,Mighty Morphin Power Rangers: The Movie,Japan
9070,Mighty Morphin Power Rangers: The Movie,United States of America
68274,Moonlight and Valentino,United Kingdom
68274,Moonlight and Valentino,United States of America
48787,Mute Witness,Germany
48787,Mute Witness,Russia
48787,Mute Witness,United Kingdom
48787,Mute Witness,United States of America
34574,Nadja,United States of America
1642,The Net,United States of America
11472,Nine Months,United States of America
36196,Party Girl,United States of America
11980,The Prophecy,United States of America
58372,Reckless,United States of America
32646,Safe,United Kingdom
32646,Safe,United States of America
10533,The Scarlet Letter,United States of America
56088,The Show,
10802,Showgirls,France
10802,Showgirls,United States of America
10149,Smoke,Germany
10149,Smoke,Japan
10149,Smoke,United States of America
18402,Something to Talk About,United States of America
9348,Species,United States of America
139408,The Stars Fell on Henrietta,United States of America
281,Strange Days,United States of America
5967,The Umbrellas of Cherbourg,Germany
5967,The Umbrellas of Cherbourg,France
79593,The Tie That Binds,United States of America
47939,Three Wishes,United States of America
36834,Total Eclipse,France
36834,Total Eclipse,Belgium
36834,Total Eclipse,United Kingdom
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",United States of America
3512,Under Siege 2: Dark Territory,United States of America
52856,Unstrung Heroes,
77350,Unzipped,United States of America
9560,A Walk in the Clouds,United States of America
9804,Waterworld,United States of America
31611,White Man's Burden,France
31611,White Man's Burden,United States of America
65796,Wild Bill,
49805,The Browning Version,United Kingdom
26258,Bushwhacked,United States of America
50797,Burnt by the Sun,France
50797,Burnt by the Sun,Russia
19155,Before the Rain,United Kingdom
19155,Before the Rain,Macedonia
19155,Before the Rain,France
76,Before Sunrise,Austria
76,Before Sunrise,Switzerland
76,Before Sunrise,United States of America
11017,Billy Madison,United States of America
37141,The Babysitter,United States of America
9382,Boys on the Side,France
9382,Boys on the Side,United States of America
6715,The Cure,United States of America
18256,Castle Freak,United States of America
22625,Circle of Friends,Ireland
22625,Circle of Friends,United Kingdom
2292,Clerks,United States of America
1909,Don Juan DeMarco,United States of America
8984,Disclosure,United States of America
61813,Dream Man,United States of America
61813,Dream Man,Canada
4954,Drop Zone,United States of America
62488,Destiny Turns on the Radio,United States of America
10531,Death and the Maiden,United States of America
10531,Death and the Maiden,France
10531,Death and the Maiden,United Kingdom
11929,Dolores Claiborne,United States of America
8467,Dumb and Dumber,United States of America
10451,Eat Drink Man Woman,Taiwan
10451,Eat Drink Man Woman,United States of America
20156,Exotica,Canada
18395,Exit to Eden,United States of America
522,Ed Wood,United States of America
397,French Kiss,United Kingdom
397,French Kiss,United States of America
10525,Forget Paris,United States of America
27985,Far from Home: The Adventures of Yellow Dog,United States of America
15789,A Goofy Movie,United States of America
27303,Hideaway,United States of America
21183,Fluke,United States of America
10954,Farinelli,Belgium
10954,Farinelli,France
10954,Farinelli,Italy
47867,Gordy,United States of America
43475,Gumby: The Movie,
72031,The Glass Shield,United States of America
72031,The Glass Shield,France
14275,Hoop Dreams,United States of America
1024,Heavenly Creatures,New Zealand
17207,Houseguest,
13701,Immortal Beloved,United States of America
