id,title,genero,popularity
100,Toy Story, Comedy   Crime ,21.95
10000,Jumanji, Comedy   Drama ,17.02
10001,Grumpier Old Men, Comedy   Science Fiction ,11.71
100010,Waiting to Exhale, Drama   War ,3.86
100017,Father of the Bride Part II, Drama ,8.39
10002,Heat, Drama   Crime   Romance ,17.92
100024,Sabrina, Horror   Thriller ,6.68
10003,Sabrina, Thriller   Action   Romance   Science Fiction   Adventure ,6.68
100032,Tom and Huck, Drama   Action ,2.56
100033,Sudden Death, Drama ,5.23
10004,GoldenEye, Drama   Fantasy   Horror   Thriller   Mystery ,14.69
100042,GoldenEye, Comedy ,14.69
100046,The American President, Comedy   Drama   Romance ,6.32
10005,Dracula: Dead and Loving It, Action   Adventure   Thriller ,5.43
100057,Dracula: Dead and Loving It, Comedy   Drama ,5.43
10006,Balto, Action   Crime   Drama ,12.14
100061,Nixon, Drama   War ,5.09
100063,Cutthroat Island, Action   Thriller ,7.28
10007,Cutthroat Island, Horror   Thriller ,7.28
10008,Cutthroat Island, Horror   Thriller ,7.28
100085,Cutthroat Island,  ,7.28
100086,Casino,  ,10.14
100088,Casino, Action   Thriller   Crime ,10.14
100089,Sense and Sensibility, Adventure   Horror   Action   Thriller   Science Fiction ,10.67
10009,Sense and Sensibility, Adventure   Animation   Family ,10.67
10010,Four Rooms, Adventure   Animation   Family ,9.03
10011,Ace Ventura: When Nature Calls, Horror   Thriller ,8.21
100110,Money Train, Action   Adventure   Thriller ,7.34
10012,Get Shorty, Horror   Comedy ,12.67
100122,Copycat, Horror   Thriller   Foreign ,10.7
10013,Assassins, Comedy   Drama   Fantasy   Romance ,11.07
10014,Assassins, Horror ,11.07
10015,Powder, Action   Comedy   Drama   War ,12.13
100152,Leaving Las Vegas, Comedy ,10.33
10016,Othello, Action   Horror   Science Fiction ,1.85
100167,Now and Then, Drama ,8.68
10017,Persuasion, Romance   Science Fiction   Horror   Action   Crime ,2.23
100179,Persuasion, Documentary ,2.23
10018,The City of Lost Children, Romance   Drama   Comedy ,9.82
100183,The City of Lost Children, Action   Horror ,9.82
100185,The City of Lost Children,  ,9.82
10019,Shanghai Triad, Fantasy   Comedy   Romance ,1.1
100196,Shanghai Triad, Comedy   Drama   Romance ,1.1
10020,Dangerous Minds, Romance   Family   Animation   Fantasy   Music ,9.48
100205,Twelve Monkeys,  ,12.3
10021,Wings of Courage, Comedy ,0.75
100215,Wings of Courage, Drama   History ,0.75
10022,Babe, Action   Comedy   Drama   Family   Thriller ,14.4
100224,Babe, Documentary ,14.4
10023,Carrington, Action   Comedy   Crime ,1.49
10024,Carrington, Drama ,1.49
100241,Dead Man Walking, Horror   Thriller ,6.89
100243,Dead Man Walking, Drama   Thriller ,6.89
100246,Across the Sea of Time, Animation   Comedy ,0.11
100247,It Takes Two, Animation   Comedy ,7.78
10025,Clueless, Comedy   Drama   Family   Fantasy   Romance ,9.88
100250,"Cry, the Beloved Country",  ,0.89
100257,Richard III, Drama ,4.56
10027,Richard III, Action   Crime ,4.56
100270,Dead Presidents, Comedy   Horror ,9.88
100271,Restoration, Comedy   Fantasy   Animation   Drama ,10.98
100272,Mortal Kombat, Comedy   Drama   Horror ,10.87
100274,To Die For, Thriller   Drama   Fantasy   Horror ,10.45
100275,How To Make An American Quilt, Horror   Comedy ,4.49
10028,Se7en, Romance   Music   Family ,18.46
100287,Pocahontas, Documentary   Science Fiction ,13.28
100288,When Night Is Falling, Drama ,3.3
10029,The Usual Suspects, Comedy   Crime   Thriller ,16.3
100292,Guardian Angel, Documentary ,0.6
10030,Mighty Aphrodite, Comedy ,15.9
10032,Lamerica, Comedy ,1.36
10033,Lamerica, Comedy   Romance ,1.36
10034,Lamerica, Action   Crime   Comedy ,1.36
100341,The Big Green,  ,5.98
10035,Georgia, Comedy   Drama   Romance ,4.09
100351,Georgia, Drama   Thriller   Romance ,4.09
10036,Kids of the Round Table, Comedy ,0.31
10037,Home for the Holidays, Action   Adventure   Thriller ,8.42
10040,The Postman, Action   Comedy ,10.17
100402,The Postman, Action   Adventure   Science Fiction ,10.17
100409,The Postman, Foreign ,10.17
10041,The Confessional, Horror   Thriller ,0.12
100416,The Indian in the Cupboard, Comedy ,10.67
100420,Eye for an Eye, Drama   Fantasy   Romance ,4.73
10044,Mr. Holland's Opus, Action   Comedy ,7.14
10045,Don't Be a Menace to South Central While Drinking Your Juice in the Hood, Action   Thriller   Science Fiction ,11.7
100450,Two If by Sea,  ,2.17
10046,Bio-Dome, Western ,6.39
100461,Lawnmower Man 2: Beyond Cyberspace, Drama   History   War ,2.5
100468,Two Bits, Mystery   Horror ,4.05
