id,runtime,release_year,title
862,81,1995,Toy Story
8844,104,1995,Jumanji
15602,101,1995,Grumpier Old Men
31357,127,1995,Waiting to Exhale
11862,106,1995,Father of the Bride Part II
949,170,1995,Heat
11860,127,1995,Sabrina
45325,97,1995,Tom and Huck
9091,106,1995,Sudden Death
710,130,1995,GoldenEye
9087,106,1995,The American President
12110,88,1995,Dracula: Dead and Loving It
21032,78,1995,Balto
10858,192,1995,Nixon
1408,119,1995,Cutthroat Island
524,178,1995,Casino
4584,136,1995,Sense and Sensibility
5,98,1995,Four Rooms
9273,90,1995,Ace Ventura: When Nature Calls
11517,103,1995,Money Train
8012,105,1995,Get Shorty
1710,124,1995,Copycat
9691,132,1995,Assassins
12665,111,1995,Powder
451,112,1995,Leaving Las Vegas
16420,123,1995,Othello
9263,100,1995,Now and Then
17015,104,1995,Persuasion
902,108,1995,The City of Lost Children
37557,108,1995,Shanghai Triad
9909,99,1995,Dangerous Minds
63,129,1995,Twelve Monkeys
78802,50,1996,Wings of Courage
9598,89,1995,Babe
47018,121,1995,Carrington
687,122,1995,Dead Man Walking
139405,51,1995,Across the Sea of Time
33689,101,1995,It Takes Two
9603,97,1995,Clueless
34615,106,1995,"Cry, the Beloved Country"
31174,104,1995,Richard III
11443,119,1995,Dead Presidents
35196,117,1995,Restoration
9312,101,1995,Mortal Kombat
577,106,1995,To Die For
11861,116,1995,How To Make An American Quilt
807,127,1995,Se7en
10530,81,1995,Pocahontas
8391,96,1995,When Night Is Falling
629,106,1995,The Usual Suspects
117164,93,1994,Guardian Angel
11448,95,1995,Mighty Aphrodite
49133,116,1994,Lamerica
26441,100,1995,The Big Green
97406,115,1995,Georgia
124057,89,1997,Kids of the Round Table
9089,103,1995,Home for the Holidays
11010,108,1994,The Postman
99040,100,1995,The Confessional
11359,96,1995,The Indian in the Cupboard
17182,101,1996,Eye for an Eye
2054,137,1995,Mr. Holland's Opus
10607,89,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
19760,96,1996,Two If by Sea
9536,88,1996,Bio-Dome
11525,92,1996,Lawnmower Man 2: Beyond Cyberspace
40628,85,1995,Two Bits
4482,95,1995,French Twist
10634,91,1995,Friday
755,108,1996,From Dusk Till Dawn
11859,91,1995,Fair Game
28387,96,1995,Kicking and Screaming
48750,175,1995,Les Miserables
20927,87,1996,Bed of Roses
36929,90,1996,Big Bully
9102,108,1995,Screamers
124626,70,1995,Nico Icon
27526,111,1995,The Crossing Guard
9623,118,1996,The Juror
46785,85,1995,The White Balloon
400,116,1995,Things to Do in Denver When You're Dead
880,102,1995,Antonia's Line
146599,115,1996,Once Upon a Time... When We Were Colored
188588,108,1995,Last Summer in the Hamptons
8447,118,1995,Angels and Insects
10534,129,1996,White Squall
17414,88,1996,Dunston Checks In
13997,87,1996,Black Sheep
2086,90,1995,Nick of Time
61548,91,1995,The Journey of August King
9095,104,1996,Mary Reilly
12158,100,1995,Vampire in Brooklyn
9283,112,1996,Beautiful Girls
9208,108,1996,Broken Arrow
40154,99,1995,A Midwinter's Tale
406,98,1995,La Haine
45549,105,1994,Shopping
63076,106,1995,Heidi Fleiss: Hollywood Madam
11062,111,1996,City Hall
13685,91,1996,Bottle Rocket
47475,96,1996,Mr. Wrong
2045,106,1996,Unforgettable
9614,92,1996,Happy Gilmore
688,135,1995,The Bridges of Madison County
