id,title,name_companies,revenue
862,Toy Story,Pixar Animation Studios,373554033
8844,Jumanji,TriStar Pictures,262797249
15602,Grumpier Old Men,Teitler Film,0
31357,Waiting to Exhale,Interscope Communications,81452156
11862,Father of the Bride Part II,Warner Bros.,76578911
949,Heat,Lancaster Gate,187436818
11860,Sabrina,Twentieth Century Fox Film Corporation,0
45325,Tom and Huck,Sandollar Productions,0
9091,Sudden Death,Touchstone Pictures,64350171
710,GoldenEye,Regency Enterprises,352194034
9087,The American President,Forward Pass,107879496
21032,Balto,Paramount Pictures,11348324
10858,Nixon,Scott Rudin Productions,13681765
1408,Cutthroat Island,Mirage Enterprises,10017322
4584,Sense and Sensibility,Constellation Entertainment,135000000
5,Four Rooms,Worldwide,4300000
9273,Ace Ventura: When Nature Calls,Mont Blanc Entertainment GmbH,212385533
11517,Money Train,Walt Disney Pictures,35431113
8012,Get Shorty,Universal Pictures,115101622
1710,Copycat,Imperial Entertainment,0
9691,Assassins,Signature Entertainment,30303072
12665,Powder,United Artists,0
451,Leaving Las Vegas,Eon Productions,49800000
16420,Othello,Columbia Pictures,0
9263,Now and Then,Castle Rock Entertainment,27400000
37557,Shanghai Triad,Enigma Pictures,0
63,Twelve Monkeys,Amblin Entertainment,168840000
78802,Wings of Courage,Amblimation,0
9598,Babe,Hollywood Pictures,254134910
47018,Carrington,Cinergi Pictures Entertainment,0
687,Dead Man Walking,Le Studio Canal+,39363635
139405,Across the Sea of Time,Laurence Mark Productions,0
33689,It Takes Two,Metro-Goldwyn-Mayer (MGM),0
9603,Clueless,Carolco Pictures,0
31174,Richard III,Légende Entreprises,0
11443,Dead Presidents,Syalis DA,0
35196,Restoration,De Fina-Cappa,0
9312,Mortal Kombat,Columbia Pictures Corporation,122195920
11861,How To Make An American Quilt,Miramax Films,23574130
807,Se7en,A Band Apart,327311859
10530,Pocahontas,O Entertainment,346079773
629,The Usual Suspects,Morgan Creek Productions,23341568
11448,Mighty Aphrodite,Jersey Films,6700000
97406,Georgia,New Regency Pictures,0
124057,Kids of the Round Table,Silver Pictures,0
9089,Home for the Holidays,Canal+,17519169
99040,The Confessional,Dino De Laurentiis Company,0
11359,The Indian in the Cupboard,Donner/Shuler-Donner Productions,0
17182,Eye for an Eye,Evansgideon/Lazar,0
2054,Mr. Holland's Opus,Caravan Pictures,106269971
9536,Bio-Dome,Intial Productions,0
4482,French Twist,New Line Cinema,0
10634,Friday,BBC Films,28215918
755,From Dusk Till Dawn,Procirep,25836616
11859,Fair Game,Constellation Productions,11534477
28387,Kicking and Screaming,France 3 Cinéma,718490
48750,Les Miserables,Claudie Ossard Productions,0
20927,Bed of Roses,Eurimages,19030691
36929,Big Bully,MEDIA Programme of the European Union,2042530
9102,Screamers,Cofimage 5,5781885
124626,Nico Icon,Televisión Española (TVE),0
27526,The Crossing Guard,Tele München Fernseh Produktionsgesellschaft (TMG),0
9623,The Juror,Club d'Investissement Média,0
46785,The White Balloon,Canal+ España,0
400,Things to Do in Denver When You're Dead,Elías Querejeta Producciones Cinematográficas S.L.,529766
880,Antonia's Line,Centre National de la Cinématographie (CNC),0
146599,Once Upon a Time... When We Were Colored,Victoires Productions,0
188588,Last Summer in the Hamptons,Constellation,0
8447,Angels and Insects,Lumière Pictures,0
17414,Dunston Checks In,Studio Image,0
13997,Black Sheep,Cofimage 4,32
2086,Nick of Time,Ossane,8175346
61548,The Journey of August King,Phoenix Images,0
9095,Mary Reilly,Ministère des Affaires Étrangères,12379402
12158,Vampire in Brooklyn,Alpha Films,19800000
9283,Beautiful Girls,La Sept Cinéma,0
40154,A Midwinter's Tale,Via Rosa Productions,0
406,La Haine,Don Simpson/Jerry Bruckheimer Films,0
63076,Heidi Fleiss: Hollywood Madam,Atlas Entertainment,0
11062,City Hall,Classico,0
13685,Bottle Rocket,Iwerks Entertainment,560069
2045,Unforgettable,Kennedy Miller Productions,0
9614,Happy Gilmore,StudioCanal,41205099
688,The Bridges of Madison County,Cinéa,182016617
11907,Nobody Loves Me,Euston Films,0
10874,Muppet Treasure Island,Freeway Films,34327391
89333,Catwalk,European Co-production Fund,0
96357,Headless Body in Topless Bar,Polygram Filmed Entertainment,0
197,Braveheart,Orsans Productions,210000000
103,Taxi Driver,Havoc,28262574
33542,Rumble in the Bronx,PolyGram Filmed Entertainment,32392047
43566,Before and After,Working Title Films,0
71754,Margaret's Museum,Sony New Technologies,0
43612,Happiness Is in the Field,Dualstar Productions,0
16934,The Young Poisoner's Handbook,Rysher Entertainment,0
10324,If Lucy Fell,Orr & Cruickshank,0
55731,Race the Sun,Miramax,0
32119,The Boys of St. Vincent,Distant Horizon,0
11066,Boomerang,Alpine Pty Limited,70100000
11104,Chungking Express,British Screen,0
37975,The Star Maker,Mayfair Entertainment International,0
27793,The Neverending Story III: Escape from Fantasia,Underworld Entertainment,0
32622,Angela,Threshold Entertainment,0
73067,Frankie Starlight,The Rank Organisation,0
123360,From the Journals of Jean Seberg,Juno Pix,0
5757,Man of the Year,Cecchi Gori Pictures,209935
124639,Target,Walt Disney Feature Animation,0
9302,Up Close & Personal,Alliance Communications Corporation,0
11000,The Birdcage,Blue Parrot Productions,185260553
249882,Virgin Mary,Bad Hat Harry Productions,0
16388,The Brothers McMullen,,0
30765,The Amazing Panda Adventure,Magnolia Pictures,0
11780,Rob Roy,CiBy 2000,31596911
34996,The Addiction,Telefilm Canada,0
414,Batman Forever,Melenny Productions,336529144
1873,Beyond Rangoon,Egg Pictures,0
8963,Crimson Tide,The Kennedy/Marshall Company,157387195
8512,Devil in a Blue Dress,The Charlie Mopic Company,16140822
6520,First Knight,Island Pictures,127600435
9073,Free Willy 2 - The Adventure Home,Ivory Way Productions,0
9482,Judge Dredd,Motion Picture Corporation of America (MPCA),113493481
19326,Jury Duty,3 Arts Entertainment,17014653
9344,Kids,Weasel Productions,7412216
15730,Love & Human Remains,Renn Productions,0
47608,Mad Love,Les Films Flam,15453274
2293,Mallrats,TF1 Films Production,2122561
34574,Nadja,Dimension Films,0
1642,The Net,Los Hooligans Productions,110627965
58372,Reckless,Castleberg Productions,0
10533,The Scarlet Letter,Les Films 13,10382407
10802,Showgirls,TF1,20350754
281,Strange Days,The Movie Network (TMN),7959291
5967,The Umbrellas of Cherbourg,Allegro Films,0
79593,The Tie That Binds,Fuji Eight Company Ltd.,5780000
47939,Three Wishes,Fries Film Group,7025496
36834,Total Eclipse,Super Ecran,339889
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Triumph Films,47774193
3512,Under Siege 2: Dark Territory,Zweites Deutsches Fernsehen (ZDF),104324083
52856,Unstrung Heroes,Ciak Filmproduktion,0
77350,Unzipped,Bluehorse Films,0
31611,White Man's Burden,I.R.I.B. Channel 2,0
65796,Wild Bill,Ferdos Films,0
26258,Bushwhacked,Bergen Film,0
50797,Burnt by the Sun,Bard Entertainments,2616503
19155,Before the Rain,NPS Televisie,763847
76,Before Sunrise,BET Pictures,5535405
11017,Billy Madison,United Image Entertainme,26488734
9382,Boys on the Side,Playhouse International Pictures,23450000
6715,The Cure,The Samuel Goldwyn Company,0
22625,Circle of Friends,Largo Entertainment,0
2292,Clerks,Scott Free Productions,3151130
8984,Disclosure,Joe Wizan/Todd Black,214015089
10531,Death and the Maiden,Addis Wechsler Pictures,0
8467,Dumb and Dumber,NFH Productions,247275374
18395,Exit to Eden,Woods Entertainment,6841570
397,French Kiss,WCG Entertainment Productions,0
10525,Forget Paris,Mark Gordon Productions,0
15789,A Goofy Movie,Midwinter Films,35348597
47867,Gordy,Les Productions Lazennec,3992809
72031,The Glass Shield,Kasso Inc. Productions,0
1024,Heavenly Creatures,Cofinergie 6,3049135
17207,Houseguest,Channel Four Films,26325256
13701,Immortal Beloved,British Broadcasting Corporation (BBC),0
14819,Heavyweights,Westdeutscher Rundfunk (WDR),17689177
32631,The Hunted,Canadian Broadcasting Corporation (CBC),0
11777,I.Q.,Cinemax Reel Life,0
628,Interview with the Vampire,InPictures,223664608
87729,Jefferson in Paris,Lafayette Films,2474000
9061,Just Cause,Gracie Films,0
19101,A Little Princess,Spelling Films,0
17961,L'Enfer,Brillstein-Grey Entertainment,0
